mragy    :0           :0               Mon May  2 07:46 - down   (02:08)    
reboot   system boot  3.19.0-56-generi Mon May  2 07:46 - 09:54  (02:08)    
mragy    pts/0        :0               Mon May  2 05:28 - 05:47  (00:19)    
mragy    :0           :0               Mon May  2 04:42 - down   (01:05)    
reboot   system boot  3.19.0-56-generi Mon May  2 04:42 - 05:48  (01:05)    
mragy    pts/13       :0               Sun May  1 22:25 - 23:21  (00:55)    
mragy    :0           :0               Sun May  1 22:25 - down   (01:00)    
reboot   system boot  3.19.0-56-generi Sun May  1 22:25 - 23:25  (01:00)    

wtmp begins Sun May  1 21:03:39 2016
