mguser2 pts/20 23.79.236.14 Tue Apr 19 10.43 - 11.35 00.52 
mguser7 pts/16 23.79.236.14 Tue Apr 19 10.35 - 13.46 03.11 
mguser10 pts/13 23.79.236.14 Tue Apr 19 10.32 - 11.07 00.35 
mguser13 pts/12 23.79.236.14 Tue Apr 19 10.26 - 12.14 01.47 
mguser13 pts/2 23.79.236.14 Tue Apr 19 10.20 - 12.37 02.17 
mguser11 pts/10 23.79.236.14 Tue Apr 19 10.11 - 12.32 02.21 
mguser11 pts/10 23.79.236.14 Tue Apr 19 10.10 - 10.11 00.01 
mguser5 pts/9 23.79.236.14 Tue Apr 19 10.04 - 12.31 02.26 
mguser12 pts/6 23.79.236.14 Tue Apr 19 10.04 - 13.31 03.26 
mguser20 pts/1 23.79.236.14 Tue Apr 19 10.04 - 15.22 05.18 
mguser6 pts/3 23.79.236.14 Tue Apr 19 10.00 - 12.41 02.40 
mguser6 pts/3 23.79.236.14 Tue Apr 19 09.49 - 09.59 00.10 
mguser3 pts/26 23.79.236.14 Tue Apr 19 09.47 - 13.58 04.10 
mguser10 pts/18 23.79.236.14 Tue Apr 19 09.47 - 12.06 02.19 
mguser19 pts/29 23.79.236.14 Tue Apr 19 09.45 - 13.51 04.06 
mguser7 pts/28 23.79.236.14 Tue Apr 19 09.45 - 12.11 02.26 
mguser17 pts/15 23.79.236.14 Tue Apr 19 09.44 - 14.10 04.26 
mguser14 pts/4 23.79.236.14 Tue Apr 19 09.44 - 15.19 05.34 
mguser21 pts/27 23.79.236.14 Tue Apr 19 09.41 - 13.52 04.11 
mguser4 pts/22 23.79.236.14 Tue Apr 19 09.41 - 12.30 02.48 
mguser13 pts/19 23.79.236.14 Tue Apr 19 09.41 - 11.52 02.11 
mguser1 pts/17 23.79.236.14 Tue Apr 19 09.39 - 14.51 05.11 
mguser14 pts/15 23.79.236.14 Tue Apr 19 09.39 - 09.44 00.04 
mguser9 pts/14 23.79.236.14 Tue Apr 19 09.39 - 13.50 04.11 
mguser18 pts/11 23.79.236.14 Tue Apr 19 09.39 - 10.56 01.17 
mguser11 pts/10 23.79.236.14 Tue Apr 19 09.39 - 10.09 00.30 
mguser8 pts/8 23.79.236.14 Tue Apr 19 09.39 - 11.26 01.47 
mguser15 pts/7 23.79.236.14 Tue Apr 19 09.35 - 13.57 04.22 
mguser29 pts/0 23.79.236.14 Tue Apr 19 09.09 - 12.03 02.53 
mguser29 pts/0 23.79.236.14 Tue Apr 19 08.04 - 09.09 01.04 
mguser20 pts/19 23.79.236.14 Tue Apr 19 07.28 - 09.39 02.11 
mguser9 pts/3 23.79.236.14 Tue Apr 19 07.25 - 09.48 02.22 
mguser18 pts/8 23.79.236.14 Tue Apr 19 07.21 - 07.37 00.16 
mguser7 pts/26 23.79.236.14 Tue Apr 19 07.20 - 09.47 02.26 
mguser12 pts/25 23.79.236.14 Tue Apr 19 07.19 - 09.48 02.28 
mguser6 pts/24 23.79.236.14 Tue Apr 19 07.18 - 09.49 02.30 
mguser11 pts/23 23.79.236.14 Tue Apr 19 07.17 - 09.48 02.30 
mguser4 pts/6 23.79.236.14 Tue Apr 19 07.17 - 09.50 02.32 
mguser9 pts/19 23.79.236.14 Tue Apr 19 07.16 - 07.25 00.09 
mguser17 pts/22 23.79.236.14 Tue Apr 19 07.10 - 09.21 02.11 
mguser8 pts/21 23.79.236.14 Tue Apr 19 07.09 - 09.47 02.37 
mguser19 pts/20 23.79.236.14 Tue Apr 19 07.09 - 10.20 03.11 
mguser11 pts/19 23.79.236.14 Tue Apr 19 07.08 - 07.14 00.05 
mguser11 pts/19 23.79.236.14 Tue Apr 19 07.05 - 07.08 00.02 
mguser3 pts/18 23.79.236.14 Tue Apr 19 07.05 - 09.46 02.40 
mguser10 pts/17 23.79.236.14 Tue Apr 19 07.05 - 09.19 02.14 
mguser15 pts/2 23.79.236.14 Tue Apr 19 07.05 - 10.15 03.10 
mguser21 pts/16 23.79.236.14 Tue Apr 19 06.54 - 10.05 03.10 
mguser17 pts/12 23.79.236.14 Tue Apr 19 06.50 - 10.01 03.11 
mguser9 pts/15 23.79.236.14 Tue Apr 19 06.38 - 08.55 02.16 
mguser19 pts/14 23.79.236.14 Tue Apr 19 06.34 - 08.46 02.11 
mguser13 pts/13 23.79.236.14 Tue Apr 19 06.29 - 09.50 03.21 
mguser17 pts/12 23.79.236.14 Tue Apr 19 06.27 - 06.49 00.22 
mguser20 pts/11 23.79.236.14 Tue Apr 19 06.27 - 08.38 02.11 
mguser15 pts/10 23.79.236.14 Tue Apr 19 06.26 - 08.39 02.13 
mguser14 pts/9 23.79.236.14 Tue Apr 19 06.23 - 09.53 03.29 
mguser18 pts/8 23.79.236.14 Tue Apr 19 06.23 - 07.20 00.57 
mguser7 pts/7 23.79.236.14 Tue Apr 19 06.14 - 08.33 02.19 
mguser4 pts/6 23.79.236.14 Tue Apr 19 06.03 - 07.17 01.13 
mguser29 pts/5 23.79.236.14 Tue Apr 19 06.00 - 11.11 05.11 
mguser2 pts/4 23.79.236.14 Tue Apr 19 05.21 - 09.44 04.22 
mguser2 pts/4 23.79.236.14 Tue Apr 19 05.06 - 05.21 00.14 
mguser11 pts/3 23.79.236.14 Tue Apr 19 05.02 - 07.23 02.21 
mguser7 pts/2 23.79.236.14 Tue Apr 19 04.38 - 07.02 02.23 
mguser1 pts/1 23.79.236.14 Tue Apr 19 04.33 - 10.02 05.28 
mguser4 pts/0 23.79.236.14 Tue Apr 19 04.26 - 07.37 03.11 
mguser3 pts/28 23.79.236.14 Fri Apr 15 10.26 - 10.32 00.06 
mguser9 pts/27 23.79.236.14 Fri Apr 15 10.21 - 12.37 02.16 
mguser8 pts/26 23.79.236.14 Fri Apr 15 10.16 - 12.37 02.21 
mguser11 pts/25 23.79.236.14 Fri Apr 15 10.16 - 10.36 00.20 
mguser2 pts/18 23.79.236.14 Fri Apr 15 10.16 - 10.33 00.17 
mguser15 pts/16 23.79.236.14 Fri Apr 15 10.15 - 10.36 00.20 
mguser12 pts/15 23.79.236.14 Fri Apr 15 10.14 - 12.36 02.21 
mguser29 pts/11 23.79.236.14 Fri Apr 15 10.14 - 12.59 02.44 
mguser20 pts/9 23.79.236.14 Fri Apr 15 10.07 - 12.42 02.35 
mguser1 pts/8 23.79.236.14 Fri Apr 15 10.04 - 12.38 02.34 
mguser4 pts/3 23.79.236.14 Fri Apr 15 09.56 - 10.34 00.38 
mguser5 pts/2 23.79.236.14 Fri Apr 15 09.55 - 10.51 00.56 
mguser7 pts/0 23.79.236.14 Fri Apr 15 09.45 - 11.56 02.11 
mguser7 pts/0 23.79.236.14 Fri Apr 15 09.21 - 09.25 00.03 
mguser20 pts/14 23.79.236.14 Fri Apr 15 08.38 - 10.51 02.12 
mguser21 pts/18 23.79.236.14 Fri Apr 15 08.29 - 09.05 00.35 
mguser12 pts/13 23.79.236.14 Fri Apr 15 08.24 - 11.09 02.45 
mguser10 pts/24 23.79.236.14 Fri Apr 15 08.14 - 10.30 02.15 
mguser3 pts/23 23.79.236.14 Fri Apr 15 08.11 - 10.26 02.15 
mguser20 pts/22 23.79.236.14 Fri Apr 15 08.06 - 11.17 03.11 
mguser9 pts/19 23.79.236.14 Fri Apr 15 08.00 - 11.11 03.11 
mguser15 pts/17 23.79.236.14 Fri Apr 15 07.59 - 11.28 03.28 
mguser17 pts/21 23.79.236.14 Fri Apr 15 07.57 - 11.08 03.11 
mguser5 pts/20 23.79.236.14 Fri Apr 15 07.55 - 11.24 03.28 
mguser9 pts/17 23.79.236.14 Fri Apr 15 07.55 - 07.59 00.04 
mguser2 pts/12 23.79.236.14 Fri Apr 15 07.54 - 11.26 03.32 
mguser4 pts/6 23.79.236.14 Fri Apr 15 07.52 - 11.24 03.32 
mguser8 pts/4 23.79.236.14 Fri Apr 15 07.52 - 11.03 03.11 
mguser29 pts/7 23.79.236.14 Fri Apr 15 07.48 - 11.25 03.36 
mguser20 pts/3 23.79.236.14 Fri Apr 15 06.57 - 09.11 02.14 
mguser15 pts/19 23.79.236.14 Fri Apr 15 06.21 - 07.58 01.37 
mguser10 pts/18 23.79.236.14 Fri Apr 15 06.18 - 08.29 02.11 
mguser3 pts/17 23.79.236.14 Fri Apr 15 06.16 - 07.43 01.26 
mguser17 pts/16 23.79.236.14 Fri Apr 15 06.10 - 09.21 03.11 
mguser29 pts/15 23.79.236.14 Fri Apr 15 05.57 - 09.09 03.12 
mguser7 pts/14 23.79.236.14 Fri Apr 15 05.54 - 08.30 02.35 
mguser9 pts/2 23.79.236.14 Fri Apr 15 05.50 - 09.03 03.12 
mguser6 pts/13 23.79.236.14 Fri Apr 15 05.33 - 08.18 02.45 
mguser17 pts/12 23.79.236.14 Fri Apr 15 05.30 - 07.49 02.19 
mguser12 pts/11 23.79.236.14 Fri Apr 15 05.29 - 08.40 03.11 
mguser12 pts/11 23.79.236.14 Fri Apr 15 05.28 - 05.29 00.00 
mguser11 pts/10 23.79.236.14 Fri Apr 15 05.25 - 11.36 06.11 
mguser8 pts/9 23.79.236.14 Fri Apr 15 05.08 - 09.18 04.10 
mguser2 pts/8 23.79.236.14 Fri Apr 15 05.06 - 09.26 04.20 
mguser4 pts/4 23.79.236.14 Fri Apr 15 04.56 - 07.52 02.55 
mguser4 pts/4 23.79.236.14 Fri Apr 15 04.56 - 04.56 00.00 
mguser4 pts/4 23.79.236.14 Fri Apr 15 04.55 - 04.55 00.00 
mguser6 pts/7 23.79.236.14 Fri Apr 15 04.48 - 07.00 02.11 
mguser15 pts/6 23.79.236.14 Fri Apr 15 04.39 - 07.51 03.11 
mguser4 pts/4 23.79.236.14 Fri Apr 15 04.34 - 04.54 00.20 
mguser1 pts/5 23.79.236.14 Fri Apr 15 04.30 - 11.41 07.11 
mguser14 pts/1 23.79.236.14 Fri Apr 15 04.29 - 12.44 08.15 
mguser12 pts/3 23.79.236.14 Fri Apr 15 04.21 - 06.38 02.17 
mguser4 pts/4 23.79.236.14 Fri Apr 15 04.17 - 04.33 00.15 
mguser12 pts/3 23.79.236.14 Fri Apr 15 04.08 - 04.20 00.12 
mguser5 pts/0 23.79.236.14 Fri Apr 15 04.05 - 09.16 05.11 
mguser5 pts/0 23.79.236.14 Thu Apr 14 12.43 - 14.00 01.16 
mguser6 pts/4 23.79.236.14 Thu Apr 14 11.43 - 12.12 00.28 
mguser8 pts/2 23.79.236.14 Thu Apr 14 11.38 - 14.17 02.39 
mguser17 pts/1 23.79.236.14 Thu Apr 14 10.59 - 11.50 00.51 
mguser6 pts/34 23.79.236.14 Thu Apr 14 10.41 - 13.20 02.38 
mguser20 pts/33 23.79.236.14 Thu Apr 14 10.19 - 12.36 02.17 
mguser9 pts/32 23.79.236.14 Thu Apr 14 10.18 - 12.10 01.51 
mguser21 pts/31 23.79.236.14 Thu Apr 14 10.18 - 12.10 01.52 
mguser10 pts/30 23.79.236.14 Thu Apr 14 10.18 - 11.26 01.08 
mguser3 pts/29 23.79.236.14 Thu Apr 14 10.18 - 14.29 04.11 
mguser12 pts/28 23.79.236.14 Thu Apr 14 10.18 - 12.07 01.49 
mguser18 pts/20 23.79.236.14 Thu Apr 14 10.14 - 12.16 02.01 
mguser11 pts/17 23.79.236.14 Thu Apr 14 10.13 - 11.50 01.36 
mguser13 pts/12 23.79.236.14 Thu Apr 14 10.13 - 10.54 00.41 
mguser17 pts/11 23.79.236.14 Thu Apr 14 10.12 - 10.58 00.46 
mguser15 pts/10 23.79.236.14 Thu Apr 14 10.05 - 12.11 02.06 
mguser7 pts/9 23.79.236.14 Thu Apr 14 09.57 - 12.11 02.14 
mguser8 pts/8 23.79.236.14 Thu Apr 14 09.54 - 13.14 03.19 
mguser14 pts/7 23.79.236.14 Thu Apr 14 09.49 - 14.23 04.34 
mguser4 pts/3 23.79.236.14 Thu Apr 14 09.42 - 12.10 02.28 
mguser10 pts/3 23.79.236.14 Thu Apr 14 08.57 - 08.59 00.02 
mguser9 pts/27 23.79.236.14 Thu Apr 14 08.52 - 10.54 02.01 
mguser10 pts/20 23.79.236.14 Thu Apr 14 08.49 - 08.57 00.07 
mguser20 pts/26 23.79.236.14 Thu Apr 14 08.49 - 10.55 02.05 
mguser12 pts/25 23.79.236.14 Thu Apr 14 08.38 - 10.54 02.16 
mguser9 pts/24 23.79.236.14 Thu Apr 14 08.32 - 10.55 02.22 
mguser19 pts/16 23.79.236.14 Thu Apr 14 08.30 - 18.20 09.49 
mguser9 pts/24 23.79.236.14 Thu Apr 14 08.15 - 08.32 00.16 
mguser21 pts/23 23.79.236.14 Thu Apr 14 08.12 - 10.54 02.41 
mguser3 pts/22 23.79.236.14 Thu Apr 14 08.11 - 10.54 02.42 
mguser10 pts/20 23.79.236.14 Thu Apr 14 08.11 - 08.49 00.37 
mguser17 pts/5 23.79.236.14 Thu Apr 14 07.59 - 10.54 02.55 
mguser15 pts/21 23.79.236.14 Thu Apr 14 07.40 - 10.54 03.14 
mguser5 pts/20 23.79.236.14 Thu Apr 14 07.38 - 08.01 00.22 
